TBLID,GEOID,GEONAME,ORDER,TITLE,ESTIMATE,MG_ERROR
B02011,05000US06113,"Yolo County, California",1,Total:,"40,058","+/-1,292"
B02011,05000US06115,"Yuba County, California",1,Total:,"6,229","+/-1,037"
B02011,05000US08001,"Adams County, Colorado",1,Total:,"26,475","+/-1,062"
B02011,05000US08005,"Arapahoe County, Colorado",1,Total:,"50,756","+/-1,527"
B02011,05000US08013,"Boulder County, Colorado",1,Total:,"20,327",+/-275
B02011,05000US08014,"Broomfield County, Colorado",1,Total:,"6,006",+/-210
B02011,05000US08031,"Denver County, Colorado",1,Total:,"36,033","+/-1,210"
B02011,05000US08035,"Douglas County, Colorado",1,Total:,"23,122",+/-632
B02011,05000US08041,"El Paso County, Colorado",1,Total:,"34,413","+/-1,585"
B02011,05000US08059,"Jefferson County, Colorado",1,Total:,"23,040",+/-783
B02011,05000US08069,"Larimer County, Colorado",1,Total:,"12,195",+/-548
B02011,05000US08077,"Mesa County, Colorado",1,Total:,"2,562",+/-383
B02011,05000US08101,"Pueblo County, Colorado",1,Total:,"2,790",+/-510
B02011,05000US08123,"Weld County, Colorado",1,Total:,"6,682","+/-1,100"
B02011,05000US09001,"Fairfield County, Connecticut",1,Total:,"60,454",+/-843
B02011,05000US09003,"Hartford County, Connecticut",1,Total:,"58,037","+/-1,740"
B02011,05000US09005,"Litchfield County, Connecticut",1,Total:,"4,656",+/-265
B02011,05000US09007,"Middlesex County, Connecticut",1,Total:,"6,659",+/-776
B02011,05000US09009,"New Haven County, Connecticut",1,Total:,"41,131","+/-1,171"
B02011,05000US09011,"New London County, Connecticut",1,Total:,"13,764",+/-253
B02011,05000US09013,"Tolland County, Connecticut",1,Total:,"8,344",+/-249
B02011,05000US09015,"Windham County, Connecticut",1,Total:,"2,267",+/-262
B02011,05000US10001,"Kent County, Delaware",1,Total:,"6,016",+/-541
B02011,05000US10003,"New Castle County, Delaware",1,Total:,"35,393",+/-522
B02011,05000US10005,"Sussex County, Delaware",1,Total:,"3,766",+/-246
B02011,05000US11001,"District of Columbia, District of Columbia",1,Total:,"38,036","+/-1,098"
B02011,05000US12001,"Alachua County, Florida",1,Total:,"19,926",+/-685
B02011,05000US12005,"Bay County, Florida",1,Total:,"6,052",+/-186
B02011,05000US12009,"Brevard County, Florida",1,Total:,"23,487","+/-2,265"
B02011,05000US12011,"Broward County, Florida",1,Total:,"90,871","+/-3,091"
B02011,05000US12015,"Charlotte County, Florida",1,Total:,"3,219",+/-229
B02011,05000US12017,"Citrus County, Florida",1,Total:,"2,948",+/-189
B02011,05000US12019,"Clay County, Florida",1,Total:,"10,231","+/-1,291"
B02011,05000US12021,"Collier County, Florida",1,Total:,"7,002",+/-605
B02011,05000US12023,"Columbia County, Florida",1,Total:,654,+/-590
B02011,05000US12031,"Duval County, Florida",1,Total:,"59,747","+/-1,511"
B02011,05000US12033,"Escambia County, Florida",1,Total:,"15,101",+/-883
B02011,05000US12035,"Flagler County, Florida",1,Total:,"3,813",+/-564
B02011,05000US12053,"Hernando County, Florida",1,Total:,"4,241",+/-751
B02011,05000US12055,"Highlands County, Florida",1,Total:,"1,807",+/-70
B02011,05000US12057,"Hillsborough County, Florida",1,Total:,"76,920","+/-2,286"
B02011,05000US12061,"Indian River County, Florida",1,Total:,"2,053","+/-1,155"
B02011,05000US12069,"Lake County, Florida",1,Total:,"9,542",+/-698
B02011,05000US12071,"Lee County, Florida",1,Total:,"16,286",+/-895
B02011,05000US12073,"Leon County, Florida",1,Total:,"13,037",+/-427
B02011,05000US12081,"Manatee County, Florida",1,Total:,"10,314",+/-294
B02011,05000US12083,"Marion County, Florida",1,Total:,"7,899",+/-862
B02011,05000US12085,"Martin County, Florida",1,Total:,"3,028",+/-360
B02011,05000US12086,"Miami-Dade County, Florida",1,Total:,"57,791","+/-2,818"
B02011,05000US12087,"Monroe County, Florida",1,Total:,"1,291",+/-229
B02011,05000US12089,"Nassau County, Florida",1,Total:,"1,296",+/-173
B02011,05000US12091,"Okaloosa County, Florida",1,Total:,"9,990",+/-387
B02011,05000US12095,"Orange County, Florida",1,Total:,"88,390","+/-2,484"
B02011,05000US12097,"Osceola County, Florida",1,Total:,"13,492","+/-1,628"
B02011,05000US12099,"Palm Beach County, Florida",1,Total:,"53,607","+/-2,491"
B02011,05000US12101,"Pasco County, Florida",1,Total:,"18,413",+/-788
B02011,05000US12103,"Pinellas County, Florida",1,Total:,"42,133","+/-1,129"
B02011,05000US12105,"Polk County, Florida",1,Total:,"16,503",+/-782
B02011,05000US12107,"Putnam County, Florida",1,Total:,848,+/-461
B02011,05000US12109,"St. Johns County, Florida",1,Total:,"10,721",+/-781
B02011,05000US12111,"St. Lucie County, Florida",1,Total:,"7,771",+/-424
B02011,05000US12113,"Santa Rosa County, Florida",1,Total:,"6,247",+/-484
B02011,05000US12115,"Sarasota County, Florida",1,Total:,"9,645",+/-566
B02011,05000US12117,"Seminole County, Florida",1,Total:,"27,125","+/-1,342"
B02011,05000US12119,"Sumter County, Florida",1,Total:,"1,462",+/-163
B02011,05000US12127,"Volusia County, Florida",1,Total:,"12,964",+/-259
B02011,05000US12131,"Walton County, Florida",1,Total:,"1,410","+/-1,020"
B02011,05000US13013,"Barrow County, Georgia",1,Total:,"3,510",+/-177
B02011,05000US13015,"Bartow County, Georgia",1,Total:,"1,341",+/-226
B02011,05000US13021,"Bibb County, Georgia",1,Total:,"3,655",+/-36
B02011,05000US13031,"Bulloch County, Georgia",1,Total:,"1,301",+/-226
B02011,05000US13047,"Catoosa County, Georgia",1,Total:,"1,169",+/-119
B02011,05000US13051,"Chatham County, Georgia",1,Total:,"10,749",+/-928
B02011,05000US13057,"Cherokee County, Georgia",1,Total:,"6,722",+/-532
B02011,05000US13059,"Clarke County, Georgia",1,Total:,"6,211",+/-185
B02011,05000US13063,"Clayton County, Georgia",1,Total:,"16,217",+/-854
B02011,05000US13067,"Cobb County, Georgia",1,Total:,"48,147","+/-1,130"
B02011,05000US13073,"Columbia County, Georgia",1,Total:,"8,503",+/-643
B02011,05000US13077,"Coweta County, Georgia",1,Total:,"3,892",+/-260
B02011,05000US13089,"DeKalb County, Georgia",1,Total:,"54,519",+/-986
B02011,05000US13097,"Douglas County, Georgia",1,Total:,"4,227","+/-1,460"
B02011,05000US13113,"Fayette County, Georgia",1,Total:,"7,117",+/-457
B02011,05000US13115,"Floyd County, Georgia",1,Total:,"1,807",+/-181
B02011,05000US13117,"Forsyth County, Georgia",1,Total:,"36,134",+/-179
B02011,05000US13121,"Fulton County, Georgia",1,Total:,"85,624","+/-1,221"
B02011,05000US13127,"Glynn County, Georgia",1,Total:,"2,248",+/-620
B02011,05000US13135,"Gwinnett County, Georgia",1,Total:,"121,334","+/-1,844"
B02011,05000US13139,"Hall County, Georgia",1,Total:,"4,944",+/-520
B02011,05000US13151,"Henry County, Georgia",1,Total:,"10,886","+/-1,649"
B02011,05000US13153,"Houston County, Georgia",1,Total:,"6,208",+/-253
B02011,05000US13157,"Jackson County, Georgia",1,Total:,"1,629",+/-38
B02011,05000US13185,"Lowndes County, Georgia",1,Total:,"3,228",+/-364
B02011,05000US13215,"Muscogee County, Georgia",1,Total:,"8,795","+/-1,530"
B02011,05000US13217,"Newton County, Georgia",1,Total:,"1,501",+/-226
B02011,05000US13223,"Paulding County, Georgia",1,Total:,"2,921",+/-589
B02011,05000US13245,"Richmond County, Georgia",1,Total:,"5,795","+/-1,094"
B02011,05000US13247,"Rockdale County, Georgia",1,Total:,"1,869",+/-226
B02011,05000US13255,"Spalding County, Georgia",1,Total:,839,+/-226
B02011,05000US13285,"Troup County, Georgia",1,Total:,"1,647",+/-226
B02011,05000US13297,"Walton County, Georgia",1,Total:,"1,853",+/-148
B02011,05000US13313,"Whitfield County, Georgia",1,Total:,863,+/-556
B02011,05000US15001,"Hawaii County, Hawaii",1,Total:,"88,048","+/-2,326"
B02011,05000US15003,"Honolulu County, Hawaii",1,Total:,"603,493","+/-5,172"
B02011,05000US15007,"Kauai County, Hawaii",1,Total:,"36,898","+/-1,315"
B02011,05000US15009,"Maui County, Hawaii",1,Total:,"78,885","+/-1,726"
B02011,05000US16001,"Ada County, Idaho",1,Total:,"19,638","+/-1,051"
B02011,05000US16005,"Bannock County, Idaho",1,Total:,"2,278",+/-261
B02011,05000US16019,"Bonneville County, Idaho",1,Total:,"3,142",+/-232
B02011,05000US16027,"Canyon County, Idaho",1,Total:,"4,719","+/-1,195"
B02011,05000US16055,"Kootenai County, Idaho",1,Total:,"3,084",+/-499
B02011,05000US16083,"Twin Falls County, Idaho",1,Total:,"2,345",+/-399
B02011,05000US17001,"Adams County, Illinois",1,Total:,813,+/-190
B02011,05000US17019,"Champaign County, Illinois",1,Total:,"25,698",+/-469
B02011,05000US17031,"Cook County, Illinois",1,Total:,"445,378","+/-3,173"
B02011,05000US17037,"DeKalb County, Illinois",1,Total:,"3,644",+/-381
B02011,05000US17043,"DuPage County, Illinois",1,Total:,"125,861","+/-1,485"
B02011,05000US17089,"Kane County, Illinois",1,Total:,"27,668","+/-1,733"
B02011,05000US17091,"Kankakee County, Illinois",1,Total:,"1,489",+/-129
B02011,05000US17093,"Kendall County, Illinois",1,Total:,"5,816","+/-1,225"
B02011,05000US17097,"Lake County, Illinois",1,Total:,"63,592","+/-1,041"
